id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
4P9J3tJZr0WE404GFOraLt,0.812,0.136,127.968,0.0626,0.0421,0.0,4,0.707,5,218693,-3.223,0.784,1
1EzrEOXmMH3G43AXT1y7pA,0.457,0.105,150.953,0.0468,0.595,0.0,4,0.686,11,242187,-8.322,0.718,1
20zQs2LhTCzA2PfIPMxuWu,0.938,0.286,126.024,0.0419,0.00217,1.89e-06,4,0.726,6,231627,-2.52,0.978,0
1YDJ2f1JuKzYWZpRYiBYHu,0.783,0.14,125.985,0.0406,0.215,9.53e-06,4,0.518,2,214067,-4.88,0.152,1
023H4I7HJnxRqsc9cqeFKV,0.761,0.0851,120.837,0.035,0.00377,0.00784,4,0.636,9,285596,-7.752,0.463,0
0SuG9kyzGRpDqrCWtgD6Lq,0.328,0.112,116.068,0.0461,0.694,0.0,4,0.526,1,526387,-9.864,0.11,1
6ngfhauAytTZsaQgZyJIeK,0.753,0.189,81.017,0.0679,0.0752,0.0,4,0.697,2,229653,-6.213,0.507,1
1zVhMuH7agsRe6XkljIY4U,0.489,0.114,143.808,0.0368,0.132,0.000643,4,0.439,8,250707,-6.286,0.253,1
6cJLfIqwh0tCKRjYM3WpZ5,0.711,0.121,139.962,0.0349,0.36,0.0,4,0.757,1,206933,-4.643,0.817,0
4R8yKwh8qAy6n525mOik6c,0.764,0.0827,153.962,0.0309,0.127,0.0,4,0.664,0,212029,-5.989,0.739,1
1JmPASoql4lnXimD5ICqRP,0.729,0.383,86.032,0.0626,0.271,0.0,4,0.594,2,266294,-5.774,0.459,1
1wVcLKdJ4AFKPhKucNvEpy,0.522,0.104,83.977,0.036,0.228,0.0,4,0.558,2,271813,-5.857,0.228,1
3wJIAMuPdEoBddWlovWXCX,0.799,0.0836,93.015,0.0329,0.0463,0.0,4,0.712,5,219480,-3.44,0.7,0
1yjY7rpaAQvKwpdUliHx0d,0.923,0.0561,136.01,0.044,0.0098,0.0,4,0.602,5,216013,-3.763,0.765,1
